model,family,Acc,F1,MCC,n_folds
Transformer,attention,0.5035404686202516,0.5900948471315173,-0.002541631548480325,4
CatBoost,classical/ML,0.509924284279583,0.6372770783890115,0.0033525610396606988,4
DecisionTree,classical/ML,0.5006027931157977,0.4930649805067706,0.0025692353384538505,4
EBM,classical/ML,0.5061703969285151,0.582837263516592,0.0047400908415335995,4
KNN,classical/ML,0.5024672185491287,0.5542733201636613,0.000762769185316325,4
LightGBM,classical/ML,0.5081705607997773,0.6133806423182336,0.0033651922365194493,4
Logistic,classical/ML,0.5118142542497135,0.6379235710808161,0.010735539283229074,4
MLP,classical/ML,0.5077348585924728,0.607900666429123,0.004884653947078625,4
RandomForest,classical/ML,0.5010851848328193,0.5274398807361784,0.00095823468878075,4
SVC,classical/ML,0.5083760752556001,0.5971821030576526,0.008800594282714526,4
XGBoost,classical/ML,0.5087885429422877,0.6214996616847007,0.003697641188481751,4
CNN1d,conv,0.5074915956049164,0.5895957498521041,0.0023250739148017,4
TCN,conv,0.5079234362317078,0.5460448238562303,0.003724170210652725,4
GNN,graph,0.5017122180496206,0.5978700105746441,-0.005879182691874875,4
GRU,recurrent,0.5002965213801098,0.547025405854688,-0.0033340593366613007,4
LSTM,recurrent,0.5049563278530365,0.5723066027097352,0.00197072561170065,4
