task,fold,model,features,R2,RMSE,DirAcc,Acc,F1,MCC
return,2020,CNN1d,price_only,4.780292510986328e-05,0.031450018915570976,0.49919541034072623,,,
direction,2020,CNN1d,price_only,,,,0.5076610928426503,0.6632208662359416,0.011065231403971493
return,2020,CNN1d,price+sentiment,-0.0031853914260864258,0.03150082302910515,0.5061918421604982,,,
direction,2020,CNN1d,price+sentiment,,,,0.5068914853424753,0.6196848694150658,0.008492168870517082
return,2021,CNN1d,price_only,-0.0037959814071655273,0.016396061431457845,0.49874686716791977,,,
direction,2021,CNN1d,price_only,,,,0.5249930381509329,0.6731810125975954,0.004285828327704194
return,2021,CNN1d,price+sentiment,-0.01184689998626709,0.01646168152527852,0.4930381509328878,,,
direction,2021,CNN1d,price+sentiment,,,,0.5257588415483152,0.6630725096448709,0.013735652163443817
return,2022,CNN1d,price_only,-0.031430602073669434,0.021977758477477478,0.4981477598378416,,,
direction,2022,CNN1d,price_only,,,,0.4954218214859859,0.646871789854718,-0.006316894757305022
return,2022,CNN1d,price+sentiment,-0.014698266983032227,0.021798763678275757,0.5002446354931153,,,
direction,2022,CNN1d,price+sentiment,,,,0.49087859089955965,0.5163988846102775,-0.017576537163331577
return,2023,CNN1d,price_only,-0.0072824954986572266,0.016456800308436163,0.517402376910017,,,
direction,2023,CNN1d,price_only,,,,0.5135823429541596,0.579243666625872,0.016406268357083913
return,2023,CNN1d,price+sentiment,-0.00883793830871582,0.01646950118648338,0.50169779286927,,,
direction,2023,CNN1d,price+sentiment,,,,0.5064374646293153,0.559226735738202,0.004649011788577509
