task,fold,model,features,R2,RMSE,DirAcc,Acc,F1,MCC
return,2020,GNN,price_only,-0.02899181842803955,0.031741668447066794,0.48854192898514226,,,
direction,2020,GNN,price_only,,,,0.4978594812389826,0.6049399022586184,-0.0057922712550819416
return,2020,GNN,price+sentiment,0.0010360479354858398,0.03127509837775458,0.4930747922437673,,,
direction,2020,GNN,price+sentiment,,,,0.4905565348778645,0.6346396965865992,-0.032047974127707865
return,2021,GNN,price_only,-0.04808640480041504,0.01675387766187029,0.5278473962684489,,,
direction,2021,GNN,price_only,,,,0.5073099415204678,0.5854372913127526,-0.003575430934676824
return,2021,GNN,price+sentiment,-0.020490407943725586,0.016531842580503962,0.4774436090225564,,,
direction,2021,GNN,price+sentiment,,,,0.5150375939849624,0.5876642595004143,0.014111355594582013
return,2022,GNN,price_only,-0.013622283935546875,0.021787201864327508,0.5027608862794436,,,
direction,2022,GNN,price_only,,,,0.4989166142447753,0.631508609611925,0.0041637870227948575
return,2022,GNN,price+sentiment,-0.023448705673217773,0.021892553257347395,0.4989166142447753,,,
direction,2022,GNN,price+sentiment,,,,0.49276577898930596,0.6004074665491989,-0.012759950708269916
return,2023,GNN,price_only,-0.03134489059448242,0.01665220355626527,0.4755234861346916,,,
direction,2023,GNN,price_only,,,,0.5112478777589134,0.6584606258341984,-0.021105340346361818
return,2023,GNN,price+sentiment,-0.0100860595703125,0.01647968645334534,0.519807583474816,,,
direction,2023,GNN,price+sentiment,,,,0.5084889643463497,0.5687686196623635,0.00717983847389626
