task,fold,model,features,R2,RMSE,DirAcc,Acc,F1,MCC
return,2020,LSTM,price_only,0.0009188652038574219,0.03143631816852811,0.5120688448891065,,,
direction,2020,LSTM,price_only,,,,0.5155670607989925,0.5863799283154122,0.028849215972925103
return,2020,LSTM,price+sentiment,-0.0007365942001342773,0.03146235022204201,0.5064716994332891,,,
direction,2020,LSTM,price+sentiment,,,,0.5060519135241027,0.5780540282094191,0.00869426322513443
return,2021,LSTM,price_only,-0.0044460296630859375,0.01640136885976598,0.5286828181565024,,,
direction,2021,LSTM,price_only,,,,0.5056390977443609,0.6136771666394647,-0.019654167647844282
return,2021,LSTM,price+sentiment,-0.019391179084777832,0.016522936599209417,0.5013227513227513,,,
direction,2021,LSTM,price+sentiment,,,,0.5038986354775828,0.5887106083342952,-0.013073293218962377
return,2022,LSTM,price_only,-0.035359740257263184,0.022019579904423683,0.5017124484518068,,,
direction,2022,LSTM,price_only,,,,0.4982875515481932,0.6006453766551686,0.00019911589991329992
return,2022,LSTM,price+sentiment,-0.030759692192077637,0.021970610390892265,0.495701404906689,,,
direction,2022,LSTM,price+sentiment,,,,0.49947578108618157,0.5540262813726101,0.0007152632961951571
return,2023,LSTM,price_only,-0.008006811141967773,0.016462715757776133,0.510752688172043,,,
direction,2023,LSTM,price_only,,,,0.5075693265421618,0.5913227264721423,-0.00039267218379862085
return,2023,LSTM,price+sentiment,-0.013604044914245605,0.01650835970320546,0.5134408602150538,,,
direction,2023,LSTM,price+sentiment,,,,0.5103989813242784,0.5684354929226164,0.011546669144435497
