task,fold,model,features,R2,RMSE,DirAcc,Acc,F1,MCC
return,2020,GRU,price_only,-0.006792545318603516,0.03155740401703463,0.4993353389771217,,,
direction,2020,GRU,price_only,,,,0.512698523752886,0.5867204651990744,0.022708702536200037
return,2020,GRU,price+sentiment,-0.007828235626220703,0.03157363145294552,0.48681172601972994,,,
direction,2020,GRU,price+sentiment,,,,0.5092702721611978,0.5775716694772344,0.015636026543641785
return,2021,GRU,price_only,-0.0022240877151489258,0.016383218351611595,0.5055694792536898,,,
direction,2021,GRU,price_only,,,,0.5075187969924813,0.6130620282244831,-0.014270387138633845
return,2021,GRU,price+sentiment,-0.028254270553588867,0.016594610967712222,0.4969367864104706,,,
direction,2021,GRU,price+sentiment,,,,0.5052910052910053,0.5801229023871425,-0.0065843598091582575
return,2022,GRU,price_only,-0.053165435791015625,0.022208115170446074,0.4929754665548333,,,
direction,2022,GRU,price_only,,,,0.491088278465087,0.6091577647753502,-0.017175269207778128
return,2022,GRU,price+sentiment,-0.025295138359069824,0.021912294499667376,0.4940239043824701,,,
direction,2022,GRU,price+sentiment,,,,0.49164744530649335,0.5440411259482164,-0.015508161266836022
return,2023,GRU,price_only,-0.01340329647064209,0.01650672446262191,0.4961799660441426,,,
direction,2023,GRU,price_only,,,,0.5015563101301641,0.5473467814467429,-0.0036908411905944177
return,2023,GRU,price+sentiment,-0.006013035774230957,0.01644642744707733,0.5127334465195246,,,
direction,2023,GRU,price+sentiment,,,,0.4949773627617431,0.4863659256061587,-0.006879742814292761
