task,fold,model,features,R2,RMSE,MAE,DirAcc,Acc,F1,MCC,AUC
return,2020,baseline:zero,-,-3.142882249118628e-06,0.031450819910475915,0.01998305010813127,0.003148394318897362,,,,
return,2020,baseline:train_mean,-,-0.00031013724432571443,0.0314556471370477,0.019981843878142155,0.5059119848877073,,,,
return,2020,baseline:persistence_ret,-,-1.3284710310079206,0.04799665710374162,0.030259832791015854,0.46451567749160133,,,,
direction,2020,baseline:majority,-,,,,,0.5059119848877073,0.6719011336182865,0.0,0.5
direction,2020,baseline:always_up,-,,,,,0.5059119848877073,0.6719011336182865,0.0,0.5
return,2020,Ridge,price_only,-0.0012691821685477667,0.03147072253733646,0.019949056010777753,0.515706989435388,,,,
return,2020,DecisionTree,price_only,-0.015763417618238407,0.03169768704484973,0.02014026946140834,0.5096900580703841,,,,
return,2020,RandomForest,price_only,-0.0433905596718176,0.032125858404020505,0.020118233733133047,0.5094102007975932,,,,
return,2020,XGBoost,price_only,-0.020916638172131297,0.03177799045051689,0.020064472477781415,0.5096200937521864,,,,
return,2020,LightGBM,price_only,-0.02356838107009218,0.03181923398068564,0.02012876163883343,0.503743091023578,,,,
return,2020,CatBoost,price_only,-0.0019030437280378454,0.03148068235910383,0.019937813375660918,0.5140978101168404,,,,
return,2020,SVR,price_only,-0.034981290605668125,0.03199613635409287,0.02051464170054451,0.5062618064786959,,,,
return,2020,KNN,price_only,-0.008476084127132522,0.03158377892278963,0.020117386113821772,0.503253340796194,,,,
return,2020,EBM,price_only,0.0019013451911317203,0.03142085687607817,0.01992552916337031,0.5202546701182397,,,,
return,2020,MLP,price_only,-0.03449103101520512,0.031988557342322595,0.020178897724061375,0.5048625201147415,,,,
direction,2020,Logistic,price_only,,,,,0.5205345273910306,0.6547780968213188,0.049793610586383506,0.5364037261921113
direction,2020,DecisionTree,price_only,,,,,0.5147974532988177,0.5065812877979367,0.03016131958592336,0.5178517624935373
direction,2020,RandomForest,price_only,,,,,0.5145175960260268,0.5335753176043557,0.028279896751037516,0.5253358629560781
direction,2020,XGBoost,price_only,,,,,0.5165465612537605,0.6232279171210469,0.03188992626384453,0.5291806541433343
direction,2020,LightGBM,price_only,,,,,0.5140978101168404,0.6148300149742111,0.025775268338819216,0.5215835513580038
direction,2020,CatBoost,price_only,,,,,0.5196249912544603,0.6399202852947347,0.04174019152382959,0.5370155308136507
direction,2020,SVC,price_only,,,,,0.5141677744350381,0.6382202771699489,0.02757046619355966,
direction,2020,KNN,price_only,,,,,0.5075211642062548,0.5728502943139754,0.01210121148822135,0.5083364401383781
direction,2020,EBM,price_only,,,,,0.5126285594346883,0.5913890192397935,0.02246781698034728,0.5207835759852841
direction,2020,MLP,price_only,,,,,0.5158469180717834,0.6338236850460366,0.031266146868697185,0.5219876807983312
return,2020,Ridge,sentiment_only,-0.00024291441279089554,0.0314545901782526,0.019977809859053612,0.5110893444343385,,,,
return,2020,DecisionTree,sentiment_only,-0.00354541227703864,0.031506474131973244,0.020037825909265734,0.503463233750787,,,,
return,2020,RandomForest,sentiment_only,-0.0010882021115010687,0.03146787823200157,0.019993651933251488,0.5095501294339887,,,,
return,2020,XGBoost,sentiment_only,-0.0014431148259210769,0.03147345584262671,0.020003685052528766,0.5115091303435249,,,,
return,2020,LightGBM,sentiment_only,-0.0025193825665839054,0.031490363826911366,0.02002397719903946,0.5097600223885819,,,,
return,2020,CatBoost,sentiment_only,-0.0009964511941287224,0.03146643616483582,0.019989766674378878,0.5122787378436997,,,,
return,2020,SVR,sentiment_only,-0.054895042645422,0.032302483629309126,0.020968968709263368,0.5033932694325893,,,,
return,2020,KNN,sentiment_only,-0.012780583947199275,0.031651112005604325,0.020206155157976687,0.5013643042048556,,,,
return,2020,EBM,sentiment_only,-0.0005717295034828318,0.03145975986948795,0.019982909458339655,0.5096900580703841,,,,
return,2020,MLP,sentiment_only,-0.0014942011189102988,0.03147425860498931,0.020002196928898215,0.5049324844329393,,,,
direction,2020,Logistic,sentiment_only,,,,,0.5100398796613727,0.6645590841596015,0.02243243392678406,0.5114295274589671
direction,2020,DecisionTree,sentiment_only,,,,,0.49674665920380606,0.5867754351697593,-0.012719221177546203,0.49221514749285233
direction,2020,RandomForest,sentiment_only,,,,,0.5030434478416008,0.5526796397758045,0.003685153060693527,0.5026340282354432
direction,2020,XGBoost,sentiment_only,,,,,0.5106695585251522,0.6427622841965471,0.018567981101883447,0.5076184382035229
direction,2020,LightGBM,sentiment_only,,,,,0.5126285594346883,0.6395156282343201,0.02365686277772359,0.5072735466154507
direction,2020,CatBoost,sentiment_only,,,,,0.5110893444343385,0.6587890625,0.02321784215022791,0.5100526047794235
direction,2020,SVC,sentiment_only,,,,,0.5071713426152662,0.6336211380422345,0.008604379696951008,
direction,2020,KNN,sentiment_only,,,,,0.5046526271601484,0.578370652691758,0.005642607520547083,0.5025944514753083
direction,2020,EBM,sentiment_only,,,,,0.5140278457986427,0.6403272576636289,0.0275009273908916,0.512099443924
direction,2020,MLP,sentiment_only,,,,,0.5058420205695096,0.6295305533700498,0.005204838643443195,0.5052505201083428
return,2020,Ridge,price+sentiment,-0.0015553551629379214,0.03147521954356096,0.01995553183679696,0.514447631707829,,,,
return,2020,DecisionTree,price+sentiment,-0.007260108010134214,0.031564732013673255,0.020120446428888075,0.5109494157979431,,,,
return,2020,RandomForest,price+sentiment,-0.03987875013826958,0.03207174875819498,0.02010764614565331,0.5085706289792206,,,,
return,2020,XGBoost,price+sentiment,-0.024304770972103373,0.03183067784228389,0.02009044049042101,0.5073112712516616,,,,
return,2020,LightGBM,price+sentiment,-0.020913966728992595,0.03177794887359135,0.020090104390745198,0.5101798082977681,,,,
return,2020,CatBoost,price+sentiment,-0.007475097378918605,0.03156810041856252,0.019999429127819605,0.5121388092073043,,,,
return,2020,SVR,price+sentiment,-0.024380395288774226,0.03183185284844441,0.02034804356831178,0.5106695585251522,,,,
return,2020,KNN,price+sentiment,-0.010248462375876954,0.03161152069574355,0.02015355767378158,0.4996151962499125,,,,
return,2020,EBM,price+sentiment,0.003462233243700763,0.0313962783288831,0.01991990828238747,0.5220737423913804,,,,
return,2020,MLP,price+sentiment,-0.06267479843608958,0.032421378773331046,0.020388423650025477,0.5075911285244525,,,,
direction,2020,Logistic,price+sentiment,,,,,0.5172462044357378,0.6551379448220712,0.04088444978835736,0.5297639756388886
direction,2020,DecisionTree,price+sentiment,,,,,0.5136080598894563,0.5066004258339247,0.027716165074684836,0.5135775409386432
direction,2020,RandomForest,price+sentiment,,,,,0.5143077030714336,0.5603546548448385,0.026809113432797113,0.5211673197713313
direction,2020,XGBoost,price+sentiment,,,,,0.5158469180717834,0.62783693664623,0.03061607454661192,0.5259421060734719
direction,2020,LightGBM,price+sentiment,,,,,0.5131882739802701,0.6152825389804268,0.023680091423146178,0.51765691402083
direction,2020,CatBoost,price+sentiment,,,,,0.5141677744350381,0.642024951025879,0.028145644137029992,0.527537356956253
direction,2020,SVC,price+sentiment,,,,,0.5131183096620724,0.6301355301621047,0.024106296781644703,
direction,2020,KNN,price+sentiment,,,,,0.49891555306793534,0.5615817825661117,-0.005624984103907448,0.5027556371817259
direction,2020,EBM,price+sentiment,,,,,0.515706989435388,0.6025037326289192,0.02915447618795769,0.5206722284058054
direction,2020,MLP,price+sentiment,,,,,0.514447631707829,0.6450490998363339,0.029482883526821175,0.5207388685417473
return,2021,baseline:zero,-,-0.0033764215969518396,0.016392634366315054,0.011672208332174534,0.0029935950988582566,,,,
return,2021,baseline:train_mean,-,-0.0011040448900789812,0.01637406139905845,0.011654033947745989,0.5280562517404622,,,,
return,2021,baseline:persistence_ret,-,-1.0561632178784648,0.02346635300357226,0.01698268864274825,0.49129768866610973,,,,
direction,2021,baseline:majority,-,,,,,0.5280562517404622,0.6911476604856713,0.0,0.5
direction,2021,baseline:always_up,-,,,,,0.5280562517404622,0.6911476604856713,0.0,0.5
return,2021,Ridge,price_only,-0.01189476762231867,0.016462071423735826,0.011728787589079047,0.5092592592592593,,,,
return,2021,DecisionTree,price_only,-0.0008227232544941732,0.016371760588561237,0.011653467362334967,0.5281258702311334,,,,
return,2021,RandomForest,price_only,-0.00048498615765169006,0.016368997952719466,0.011656722848917101,0.5261069340016709,,,,
return,2021,XGBoost,price_only,-0.008612667430268894,0.016435352217015312,0.01169220615907916,0.5153856864383181,,,,
return,2021,LightGBM,price_only,-0.011318228326436586,0.016457381023279247,0.011707730690495527,0.5117655249234196,,,,
return,2021,CatBoost,price_only,-0.0058756710451119964,0.01641303737821639,0.011686830561177905,0.5116262879420774,,,,
return,2021,SVR,price_only,-0.6803014928226461,0.02121340644858591,0.015413930156501015,0.47396268448900025,,,,
return,2021,KNN,price_only,-0.0315289333501545,0.01662101393117301,0.011894252520589857,0.5034809245335561,,,,
return,2021,EBM,price_only,-0.025823471767918438,0.01657498417575444,0.011812395673120491,0.5006961849067112,,,,
return,2021,MLP,price_only,-0.042225108217692986,0.016706965364745554,0.01184822122146795,0.5234614313561682,,,,
direction,2021,Logistic,price_only,,,,,0.5242968532442217,0.6464531484451803,0.016810202625620732,0.5123523409715703
direction,2021,DecisionTree,price_only,,,,,0.5078668894458368,0.5306420556403957,0.01346926967046216,0.5093076324447237
direction,2021,RandomForest,price_only,,,,,0.5100946811473127,0.5376174518693738,0.0167173422728997,0.5079733517261176
direction,2021,XGBoost,price_only,,,,,0.5190754664438875,0.6305091998288403,0.008918579091507202,0.5048160285608071
direction,2021,LightGBM,price_only,,,,,0.5172653856864383,0.6244177228902611,0.006613289737297683,0.5018864823829222
direction,2021,CatBoost,price_only,,,,,0.5242272347535506,0.648781991982732,0.015613198314273108,0.5061975197163133
direction,2021,SVC,price_only,,,,,0.5160818713450293,0.6154782320075234,0.007113372882214202,
direction,2021,KNN,price_only,,,,,0.5048732943469786,0.5527606590365992,0.0008914965677882048,0.5037351575199809
direction,2021,EBM,price_only,,,,,0.5064745196324144,0.5838079023072859,-0.005018933986574465,0.498478520904305
direction,2021,MLP,price_only,,,,,0.5115566694514063,0.5995890880036525,0.0017230189094465203,0.5047320999756606
return,2021,Ridge,sentiment_only,-0.0021250695205019543,0.016382409212404307,0.011659782917617727,0.5187273739905319,,,,
return,2021,DecisionTree,sentiment_only,-0.007673708723892947,0.01642770026556524,0.011695719254826629,0.5228348649401281,,,,
return,2021,RandomForest,sentiment_only,-0.0017657674945115165,0.016379472073764178,0.01165985652575122,0.5274296853244221,,,,
return,2021,XGBoost,sentiment_only,-0.011150163653613765,0.016456013491674762,0.011716651471013497,0.5209551656920078,,,,
return,2021,LightGBM,sentiment_only,-0.012664895687476418,0.016468334669839838,0.011718167456329146,0.5178919521024784,,,,
return,2021,CatBoost,sentiment_only,-0.004237052850314615,0.016399663129010127,0.01167713057490633,0.5220690615427458,,,,
return,2021,SVR,sentiment_only,-0.7273423983798388,0.021508296910926004,0.01604576349637735,0.49150654413812306,,,,
return,2021,KNN,sentiment_only,-0.0562944608490723,0.016819353858812003,0.01206509074558846,0.5087023113338903,,,,
return,2021,EBM,sentiment_only,-0.002546788429363289,0.016385855910453908,0.011672199445046202,0.5224867724867724,,,,
return,2021,MLP,sentiment_only,-0.002828786533402461,0.016388160269444205,0.01166282603467647,0.5229741019214703,,,,
direction,2021,Logistic,sentiment_only,,,,,0.5244360902255639,0.6663084363245567,0.007099512447641423,0.5096782757017557
direction,2021,DecisionTree,sentiment_only,,,,,0.5253411306042886,0.6741852241231004,0.0049893452540780165,0.49878872896765303
direction,2021,RandomForest,sentiment_only,,,,,0.5139933166248956,0.597381625237903,0.008465690400538673,0.506482727154889
direction,2021,XGBoost,sentiment_only,,,,,0.5231133389028126,0.6598808341608738,0.006411564813654295,0.5061269617492385
direction,2021,LightGBM,sentiment_only,,,,,0.5201893622946254,0.6562250598563448,-0.0013025521647142177,0.5036473393004862
direction,2021,CatBoost,sentiment_only,,,,,0.5267335004177109,0.6763781776635247,0.009548093981380925,0.5075583471893453
direction,2021,SVC,sentiment_only,,,,,0.5174046226677805,0.6230969986950848,0.007526676778891439,
direction,2021,KNN,sentiment_only,,,,,0.5069618490671123,0.5752668825716685,-0.001013489771023906,0.497940545577617
direction,2021,EBM,sentiment_only,,,,,0.5224867724867724,0.6501759575661753,0.009705030516521291,0.5058870588267327
direction,2021,MLP,sentiment_only,,,,,0.5203285992759678,0.634560305505463,0.010628182028647662,0.507297936169739
return,2021,Ridge,price+sentiment,-0.012265108986047935,0.016465083608628278,0.011731443455235146,0.509120022277917,,,,
return,2021,DecisionTree,price+sentiment,-0.0008227232544941732,0.016371760588561237,0.011653467362334967,0.5281258702311334,,,,
return,2021,RandomForest,price+sentiment,-0.0006504882305820026,0.01637035179165933,0.011656835790772245,0.526803118908382,,,,
return,2021,XGBoost,price+sentiment,-0.005365449981614034,0.016408874170058364,0.011683009267068226,0.5174046226677805,,,,
return,2021,LightGBM,price+sentiment,-0.008045807032435404,0.01643073307034642,0.011696961373516262,0.5098858256752994,,,,
return,2021,CatBoost,price+sentiment,-0.0048094956827866575,0.016404336593373696,0.011676232965395985,0.5153856864383181,,,,
return,2021,SVR,price+sentiment,-0.6011597792051473,0.0207078086193854,0.015647712027540277,0.47208298524088,,,,
return,2021,KNN,price+sentiment,-0.02992397913851752,0.016608078593248362,0.011866871666623263,0.5103731551099973,,,,
return,2021,EBM,price+sentiment,-0.027767460594957383,0.016590681970738305,0.011830372781933555,0.49603174603174605,,,,
return,2021,MLP,price+sentiment,-0.041227912820555046,0.016698970884563773,0.01192462639274117,0.4946393762183236,,,,
direction,2021,Logistic,price+sentiment,,,,,0.5238791423001949,0.6470557877896476,0.015335331591976496,0.5101477351194015
direction,2021,DecisionTree,price+sentiment,,,,,0.4996519075466444,0.5010760152724748,0.002138180098483793,0.5069541800101384
direction,2021,RandomForest,price+sentiment,,,,,0.5081453634085213,0.541144378775086,0.011430579614194717,0.5073437171660162
direction,2021,XGBoost,price+sentiment,,,,,0.516499582289056,0.6346467462780788,-0.00017787650443983744,0.5035287832455556
direction,2021,LightGBM,price+sentiment,,,,,0.5142717905875801,0.6277146363587855,-0.0030121098521895093,0.5014933181430146
direction,2021,CatBoost,price+sentiment,,,,,0.5203982177666389,0.6518421185626927,0.0022065050166478377,0.5038997960178506
direction,2021,SVC,price+sentiment,,,,,0.5143414090782512,0.6049830124575312,0.006653235511257288,
direction,2021,KNN,price+sentiment,,,,,0.5082149818991925,0.5607511503544336,0.006271691222655701,0.5028389371457455
direction,2021,EBM,price+sentiment,,,,,0.5091896407685882,0.5911621433542101,-0.0010386225929505837,0.4995974131208841
direction,2021,MLP,price+sentiment,,,,,0.5138540796435533,0.5898384728340675,0.010621010985922,0.5057895165213677
return,2022,baseline:zero,-,-0.00041460719574004656,0.021644791502045974,0.015713536077565034,0.0028657300622073113,,,,
return,2022,baseline:train_mean,-,-0.0017961832628798913,0.021659732111903498,0.015720914945376193,0.4965401551687985,,,,
return,2022,baseline:persistence_ret,-,-0.9351193110161482,0.030103519132079076,0.022114090364414005,0.5140141189627455,,,,
direction,2022,baseline:majority,-,,,,,0.4965401551687985,0.6635841389939751,0.0,0.5
direction,2022,baseline:always_up,-,,,,,0.4965401551687985,0.6635841389939751,0.0,0.5
return,2022,Ridge,price_only,-0.014073938998786284,0.021792055961013735,0.015857434834588024,0.49667994687915007,,,,
return,2022,DecisionTree,price_only,-0.013161911852780372,0.021782254201704116,0.015803761558561245,0.49521213392045854,,,,
return,2022,RandomForest,price_only,-0.007411842685162595,0.0217203550707851,0.01575033548351271,0.49381421681694276,,,,
return,2022,XGBoost,price_only,-0.01831945659632228,0.021837625579382146,0.01581867592254137,0.5010833857552247,,,,
return,2022,LightGBM,price_only,-0.027559370251504012,0.02193647575905746,0.015886320501242182,0.4994058852310058,,,,
return,2022,CatBoost,price_only,-0.012944745618197029,0.02177991961747804,0.015793500483393078,0.5005941147689942,,,,
return,2022,SVR,price_only,-0.4559585388948568,0.02611186540561015,0.019877425032561253,0.49947578108618157,,,,
return,2022,KNN,price_only,-0.01818631878660537,0.021836197977927026,0.01592372782806338,0.49521213392045854,,,,
return,2022,EBM,price_only,-0.041058233184912085,0.022080093399749368,0.016009022349804992,0.5021318235828616,,,,
return,2022,MLP,price_only,-0.08150998142762411,0.022504981515725817,0.016252139178033007,0.4939540085272943,,,,
