task,fold,model,features,R2,RMSE,DirAcc,Acc,F1,MCC
return,2020,TCN,price_only,-0.0024836063385009766,0.03148980258666204,0.5052823060239278,,,
direction,2020,TCN,price_only,,,,0.5045826628419506,0.6408682862504438,0.0004981251393095795
return,2020,TCN,price+sentiment,-0.00476384162902832,0.03152559432258213,0.5067515567060799,,,
direction,2020,TCN,price+sentiment,,,,0.5026936262506122,0.5777592966615184,0.0014088841576557244
return,2021,TCN,price_only,-0.007204413414001465,0.016423874177628875,0.49429128376496795,,,
direction,2021,TCN,price_only,,,,0.49575327206906156,0.5266322462584145,-0.012720760993638527
return,2021,TCN,price+sentiment,-0.016895174980163574,0.01650269605499549,0.4718045112781955,,,
direction,2021,TCN,price+sentiment,,,,0.5059871901977165,0.5946995659127257,-0.010230117153052012
return,2022,TCN,price_only,-0.001689910888671875,0.0216585839503208,0.5053470329209477,,,
direction,2022,TCN,price_only,,,,0.5119172433074719,0.6061699847724324,0.031108574268562013
return,2022,TCN,price+sentiment,-0.0025992393493652344,0.021668411288617254,0.5007339064793458,,,
direction,2022,TCN,price+sentiment,,,,0.5069546375899909,0.38799236508762797,0.012191064592735166
return,2023,TCN,price_only,0.00012344121932983398,0.01639619012208494,0.5136530843237125,,,
direction,2023,TCN,price_only,,,,0.5132993774759479,0.618032422829225,0.006099290868885897
return,2023,TCN,price+sentiment,-0.0019254684448242188,0.01641298046737523,0.4844368986983588,,,
direction,2023,TCN,price+sentiment,,,,0.5160582908885116,0.6237280677630493,0.01152684924527218
