task,fold,model,features,R2,RMSE,DirAcc,Acc,F1,MCC
return,2020,Transformer,price_only,-0.010910749435424805,0.03162188092501333,0.49996501784090114,,,
direction,2020,Transformer,price_only,,,,0.5105995942069544,0.5456316986034426,0.01971796465731947
return,2020,Transformer,price+sentiment,-0.005498647689819336,0.03153712090000465,0.5072413069334639,,,
direction,2020,Transformer,price+sentiment,,,,0.5003848037500874,0.5710338199074908,-0.0031484965005993955
return,2021,Transformer,price_only,-0.09399557113647461,0.017116879467823778,0.5281954887218046,,,
direction,2021,Transformer,price_only,,,,0.4999303815093289,0.5487781895847729,-0.009274245158978778
return,2021,Transformer,price+sentiment,-0.00488591194152832,0.016404960892474587,0.5122528543581175,,,
direction,2021,Transformer,price+sentiment,,,,0.5128098022834865,0.6182631464106481,-0.0025769166962014245
return,2022,Transformer,price_only,-0.044960618019104004,0.022121438323925463,0.4977283847067869,,,
direction,2022,Transformer,price_only,,,,0.4999650520724121,0.5475015812776723,0.001466856887872886
return,2022,Transformer,price+sentiment,-0.08510363101959229,0.02254233951315072,0.49975536450688474,,,
direction,2022,Transformer,price+sentiment,,,,0.4989865100999511,0.606456571867794,0.002160837520759727
return,2023,Transformer,price_only,-0.030959367752075195,0.01664909052877084,0.47538200339558573,,,
direction,2023,Transformer,price_only,,,,0.516553480475382,0.6433194154488517,0.00661653326548448
return,2023,Transformer,price+sentiment,-0.02332139015197754,0.0165873029771072,0.5217883418222977,,,
direction,2023,Transformer,price+sentiment,,,,0.5019807583474816,0.564625850340136,-0.006601950517880358
